Current Unix Time (s),Milliseconds (ms),ADCS State,Attitude Estimation Mode,Control Mode,CubeControl Signal Enabled,CubeControl Motor Enabled,CubeSense Enabled,GPS Receiver Enabled,GPS LNA Power Enabled,Motor Driver Enabled,Magnetometer Deployment Enabled,Configuration Load Error,Orbit Parameters Load Error,CubeSense Communications Error,CubeControl Signal Communications Error,CubeControl Motor Communications Error,CubeSense Node Identification Error,CubeControl Signal Identification Error,CubeControl Motor Identification Error,Magnetometer Deployment Power Error,1s Control Loop Time Exceeded,Magnetometer Range Error,Sun Sensor Overcurrent Detected,Sun Sensor Busy Error,Sun Sensor Detection Error,Wheel Control Error,Nadir Sensor Overcurrent Detected,Nadir Sensor Busy Error,Nadir Sensor Detection Error,Estimation Error,Rate Sensor Range Error,Wheel Speed Range Error,Coarse Sun Sensor Error,Orbit Parameters are Invalid,Configuration is Invalid,Control Mode Change is not allowed,Estimator Change is not allowed,Modelled and measured magnetic field differs in size,SRAM Latch-up Error,SD Card Error,Node Recovery Error,Steady-State Y-Thomson detected,TRIAD and EKF reports same attitude,Sun is Above Local Horizon,Estimated Roll Angle (deg),Estimated Pitch Angle (deg),Estimated Yaw Angle (deg),Estimated X Anglular Rate (deg/s),Estimated Y Anglular Rate (deg/s),Estimated Z Anglular Rate (deg/s),Magnetic Field X (nT),Magnetic Field X (nT),Magnetic Field X (nT),Coarse Sun X,Coarse Sun Y,Coarse Sun Z,X Angular Rate (deg/s),Y Angular Rate (deg/s),Z Angular Rate (deg/s),CSS1,CSS2,CSS3,CSS4,CSS5,CSS6,MagX,MagY,MagZ,
1501306971,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-110.71,0,2.47,3.53,2.7,-21150,-15070,-36500,-0.870513916015625,0.490478515625,-0.039764404296875,0,0.56,0,4,3,4,55,98,105,-16696,12666,10141,
1501306972,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-110.42,0,2.28,3.55,2.59,-20950,-14640,-36750,-0.870513916015625,0.490478515625,-0.039764404296875,0,0.57,0,4,3,4,55,98,105,-16796,12582,9940,
1501306973,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-110.11,0,2.06,3.56,2.44,-20770,-14190,-37100,-0.870513916015625,0.490478515625,-0.039764404296875,0,0.58,0,4,3,4,55,98,105,-16937,12507,9733,
1501306974,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-109.82,0,1.81,3.55,2.26,-20610,-13700,-37450,-0.870513916015625,0.490478515625,-0.039764404296875,0,0.57,0,4,3,4,55,98,105,-17081,12444,9504,
1501306975,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-109.56,0,1.48,3.54,2.02,-20600,-13120,-38040,-0.871795654296875,0.478851318359375,0.103057861328125,0,0.57,0,9,12,8,55,101,108,-17329,12446,9237,
1501306976,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-109.34,0,1.28,3.5,1.78,-20280,-12620,-38020,-0.869659423828125,0.492218017578125,-0.037506103515625,0,0.57,0,4,3,4,55,98,105,-17303,12307,8996,
1501306977,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-109.09,0,0.95,3.45,1.5,-20100,-11990,-38380,-0.869659423828125,0.492218017578125,-0.037506103515625,0,0.57,0,4,3,4,55,98,105,-17447,12233,8705,
1501306978,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-108.89,0,0.61,3.39,1.18,-19980,-11370,-38710,-0.8681640625,0.49481201171875,-0.03753662109375,0,0.57,0,4,3,4,56,98,105,-17581,12184,8415,
1501306979,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-108.72,0,0.27,3.32,0.83,-19810,-10730,-38940,-0.867218017578125,0.496490478515625,-0.037506103515625,0,0.58,0,4,3,4,56,98,105,-17665,12113,8111,
1501306980,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-108.54,0,-0.11,3.25,0.44,-19660,-10020,-39260,-0.865692138671875,0.499114990234375,-0.03753662109375,0,0.6,0,4,3,4,56,98,105,-17787,12051,7777,
